seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr7	56183765	56183848	84	*	X0386	389493	56182374	56184090	1717	-	0	inside	241	NUPR2
chr7	56183765	56183848	84	*	X0386	5723	56078744	56184090	105347	-	0	inside	241	PSPH
chr7	56516104	56516160	57	*	X0390	650226	56491397	56516068	24672	-	35	upstream	35	LOC650226
chr7	56516214	56516308	95	*	X0391	650226	56491397	56516068	24672	-	145	upstream	145	LOC650226
chr7	94287118	94287181	64	*	X0411	8910	94214536	94285521	70986	-	1596	upstream	1596	SGCE
chr7	94287197	94287392	196	*	X0412	8910	94214536	94285521	70986	-	1675	upstream	1675	SGCE
chr7	99517040	99517291	252	*	X0417	89122	99488030	99517223	29194	-	0	overlapStart	0	TRIM4
chr7	99775368	99775586	219	*	X0418	10734	99775538	99812010	36473	+	0	overlapStart	0	STAG3
chr7	99775368	99775586	219	*	X0418	221914	99767229	99774990	7762	-	377	upstream	377	GPC2
chr7	130131891	130131932	42	*	X0422	317751	130126898	130131013	4116	-	877	upstream	877	MESTIT1
chr7	130132207	130132229	23	*	X0423	317751	130126898	130131013	4116	-	1193	upstream	1193	MESTIT1
chr7	130132247	130132369	123	*	X0424	317751	130126898	130131013	4116	-	1233	upstream	1233	MESTIT1
chr7	156432583	156432598	16	*	X0433	140545	156433353	156469820	36468	+	754	upstream	754	RNF32
chr7	156432639	156432658	20	*	X0434	140545	156433353	156469820	36468	+	694	upstream	694	RNF32
chr8	182320	182667	348	*	X0451	169270	182200	197339	15140	+	0	inside	119	ZNF596
chr8	182320	182667	348	*	X0451	644128	158345	182318	23974	-	1	upstream	1	RPL23AP53
chr8	125985545	125985569	25	*	X0481	137209	125985539	125991630	6092	+	0	inside	5	ZNF572
chr8	125985583	125985696	114	*	X0482	137209	125985539	125991630	6092	+	0	inside	43	ZNF572
chr8	143807879	143807979	101	*	X0489	51337	143808621	143818350	9730	+	641	upstream	641	THEM6
chr8	143808779	143809007	229	*	X0490	100288181	143783670	143808391	24722	-	387	upstream	387	LNCOC1
chr8	143808779	143809007	229	*	X0490	51337	143808621	143818350	9730	+	0	inside	157	THEM6
chr8	143809284	143809305	22	*	X0491	100288181	143783670	143808391	24722	-	892	upstream	892	LNCOC1
chr9	10883	11132	250	*	X0501	100287596	11987	14525	2539	+	854	upstream	854	DDX11L5
chr9	11247	11559	313	*	X0502	100287596	11987	14525	2539	+	427	upstream	427	DDX11L5
chr9	68455133	68455623	491	*	X0524	642236	68427783	68454375	26593	-	757	upstream	757	FRG1JP
chr9	68455643	68455718	76	*	X0525	642236	68427783	68454375	26593	-	1267	upstream	1267	FRG1JP
chr9	139258551	139258610	60	*	X0541	728489	139256352	139258263	1912	-	287	upstream	287	DNLZ
chr10	4868086	4868331	246	*	X0554	83592	4868369	4890251	21883	+	37	upstream	37	AKR1E2
chr10	29698325	29698340	16	*	X0557	387647	29698483	29776785	78303	+	142	upstream	142	PTCHD3P1
chr10	29698352	29698955	604	*	X0558	387647	29698483	29776785	78303	+	0	overlapStart	0	PTCHD3P1
chr10	38146516	38146845	330	*	X0560	57209	38065454	38147012	81559	-	0	inside	166	ZNF248
chr10	38146857	38146872	16	*	X0561	57209	38065454	38147012	81559	-	0	inside	139	ZNF248
chr10	38146884	38146898	15	*	X0562	57209	38065454	38147012	81559	-	0	inside	113	ZNF248
chr10	38146996	38147042	47	*	X0563	57209	38065454	38147012	81559	-	0	overlapStart	0	ZNF248
chr10	44069818	44069835	18	*	X0567	8187	44051793	44070066	18274	-	0	inside	230	ZNF239
chr10	44069852	44070191	340	*	X0568	8187	44051793	44070066	18274	-	0	overlapStart	0	ZNF239
chr10	99496591	99496598	8	*	X0577	118813	99496878	99520664	23787	+	279	upstream	279	ZFYVE27
chr10	124714016	124714223	208	*	X0581	80007	124690419	124713919	23501	-	96	upstream	96	C10orf88
chr10	127584938	127585353	416	*	X0585	55760	127524909	127585027	60119	-	0	overlapStart	0	DHX32
chr10	127584938	127585353	416	*	X0585	92565	127585108	127698161	113054	+	0	overlapStart	0	FANK1
chr11	2720925	2720949	25	*	X0604	10984	2629558	2721228	91671	-	0	inside	278	KCNQ1OT1
chr11	2720982	2720994	13	*	X0605	10984	2629558	2721228	91671	-	0	inside	233	KCNQ1OT1
chr11	2721011	2721033	23	*	X0606	10984	2629558	2721228	91671	-	0	inside	194	KCNQ1OT1
chr11	2721133	2721157	25	*	X0607	10984	2629558	2721228	91671	-	0	inside	70	KCNQ1OT1
chr11	2721170	2721207	38	*	X0608	10984	2629558	2721228	91671	-	0	inside	20	KCNQ1OT1
chr12	56882555	56882587	33	*	X0686	27165	56864736	56882181	17446	-	373	upstream	373	GLS2
chr12	110940180	110940194	15	*	X0695	144715	110940005	110969891	29887	+	0	inside	174	RAD9B
chr12	110940180	110940194	15	*	X0695	51699	110929330	110939916	10587	-	263	upstream	263	VPS29
chr12	110940272	110940282	11	*	X0696	144715	110940005	110969891	29887	+	0	inside	266	RAD9B
chr12	110940272	110940282	11	*	X0696	51699	110929330	110939916	10587	-	355	upstream	355	VPS29
chr12	110940303	110940371	69	*	X0697	144715	110940005	110969891	29887	+	0	inside	297	RAD9B
chr12	110940303	110940371	69	*	X0697	51699	110929330	110939916	10587	-	386	upstream	386	VPS29
chr15	23810602	23810981	380	*	X0737	7681	23810454	23813166	2713	+	0	inside	147	MKRN3
chr15	23932447	23932473	27	*	X0738	4692	23930554	23932450	1897	-	0	overlapStart	0	NDN
chr15	25199929	25200232	304	*	X0742	8926	25200070	25244225	44156	+	0	overlapStart	0	SNURF
chr16	60378	60665	288	*	X0769	100287029	61555	64090	2536	+	889	upstream	889	DDX11L10
chr16	2391057	2391306	250	*	X0773	21	2325879	2390747	64869	-	309	upstream	309	ABCA3
chr16	4588966	4589129	164	*	X0779	29965	4560677	4588816	28140	-	149	upstream	149	CDIP1
chr16	29984622	29984776	155	*	X0782	9344	29985188	30003582	18395	+	411	upstream	411	TAOK2
chr17	16593405	16593475	71	*	X0818	9720	16593639	16678311	84673	+	163	upstream	163	CCDC144A
chr17	18528885	18528989	105	*	X0821	284047	18441115	18528930	87816	-	0	overlapStart	0	CCDC144B
chr17	20224358	20224494	137	*	X0824	348254	20224487	20305504	81018	+	0	overlapStart	0	CCDC144CP
chr17	47755714	47755915	202	*	X0838	8405	47676246	47755525	79280	-	188	upstream	188	SPOP
chr17	48072434	48072460	27	*	X0839	1747	48067369	48072588	5220	-	0	inside	127	DLX3
chr17	57642632	57642860	229	*	X0841	79665	57642886	57685713	42828	+	25	upstream	25	DHX40
chr19	1568555	1568608	54	*	X0892	399664	1554668	1568057	13390	-	497	upstream	497	MEX3D
chr19	3869161	3869178	18	*	X0899	23217	3804022	3869027	65006	-	133	upstream	133	ZFR2
chr19	5341040	5341054	15	*	X0901	5802	5158506	5340814	182309	-	225	upstream	225	PTPRS
chr19	13106058	13106137	80	*	X0911	4784	13106584	13209610	103027	+	446	upstream	446	NFIX
chr19	35136408	35136478	71	*	X0923	100130342	35136778	35136957	180	+	299	upstream	299	SCGB2B3P
chr20	2820679	2820901	223	*	X0950	64601	2821373	2847378	26006	+	471	upstream	471	VPS16
chr20	25990427	25990637	211	*	X0954	100134868	25990435	26002430	11996	+	0	overlapStart	0	LOC100134868
chr20	29611715	29611737	23	*	X0957	284802	29611879	29653908	42030	+	141	upstream	141	FRG1BP
chr20	29611751	29612066	316	*	X0958	284802	29611879	29653908	42030	+	0	overlapStart	0	FRG1BP
chr20	29612086	29612346	261	*	X0959	284802	29611879	29653908	42030	+	0	inside	206	FRG1BP
chr20	36149594	36150014	421	*	X0967	4826	36149607	36152090	2484	+	0	overlapStart	0	NNAT
chr20	58508171	58508544	374	*	X0973	10388	58438618	58507209	68592	-	961	upstream	961	SYCP2
chr20	58508171	58508544	374	*	X0973	63939	58508819	58523702	14884	+	274	upstream	274	FAM217B
chr21	9968354	9968688	335	*	X0987	100132288	9907189	9968593	61405	-	0	overlapStart	0	TEKT4P2
chr21	37442196	37442461	266	*	X0998	873	37442285	37445464	3180	+	0	overlapStart	0	CBR1
chr21	37442550	37442661	112	*	X0999	873	37442285	37445464	3180	+	0	inside	264	CBR1
chr21	39601218	39601557	340	*	X1003	3772	39601837	39673746	71910	+	279	upstream	279	KCNJ15
chr22	17082129	17082226	98	*	X1007	387590	17082801	17179521	96721	+	574	upstream	574	TPTEP1
chr22	22901435	22901765	331	*	X1014	23532	22890123	22901696	11574	-	0	overlapStart	0	PRAME
chr22	22901435	22901765	331	*	X1014	648691	22901756	22909007	7252	+	0	overlapStart	0	LL22NC03-63E9.3
chr22	42095598	42095609	12	*	X1018	150365	42095518	42195459	99942	+	0	inside	79	MEI1
chr22	43253541	43253729	189	*	X1019	26286	43192532	43253408	60877	-	132	upstream	132	ARFGAP3
chrX	20135096	20135367	272	*	X1028	256714	20024831	20135114	110284	-	0	overlapStart	0	MAP7D2
